sta_name,sta_code,mun_code,mun_name,Tractor Tipo 1 (unidades),Tractor Tipo 2 (unidades),Arados T1 (unidades),Cultivadora T1 (unidades),Desmalezadoras T1 (unidades),Equipo de aspersión de pesticidas T1 (unidades),Equipo de bombeo T1 (unidades),Fertilizadora T1 (unidades),"Otras maquinarias, equipos o implementos T1 (unidades)",Rastras T1 (unidades),Remolque T1 (unidades),Sembradoras T1 (unidades),Sierra T1 (unidades),Trilladoras T1 (unidades),Arados T2 (unidades),Cultivadora T2 (unidades),Desmalezadoras T2 (unidades),Equipo de aspersión de pesticidas T2 (unidades),Equipo de bombeo T2 (unidades),Fertilizadora T2 (unidades),"Otras maquinarias, equipos o implementos T2 (unidades)",Rastras T2 (unidades),Remolque T2 (unidades),Sembradoras T2 (unidades),Sierra o motosierra T2 (unidades),Trilladoras T2 (unidades),Productores de Algodón,Productores de Amaranto,Productores de Arroz,Productores de Avena forrajera,Productores de Brócoli,Productores de Calabaza/calabacita,Productores de Cebada grano,Productores de Cebolla,Productores de Chile,Productores de Frijol,Productores de Jitomate (Tomate rojo),Productores de Maíz forrajero,Productores de Maíz grano amarillo,Productores de Maíz grano blanco,Productores de Melón,Productores de Papa,Productores de Sandia,Productores de Sorgo forrajero,Productores de Sorgo grano,Productores de Soya,Productores de Tomate de cáscara (tomatillo),Productores de Trigo grano,Superficie sembrada de Algodón (ha),Superficie sembrada de Amaranto (ha),Superficie sembrada de Arroz (ha),Superficie sembrada de Avena forrajera (ha),Superficie sembrada de Brócoli (ha),Superficie sembrada de Calabaza/calabacita (ha),Superficie sembrada de Cebada grano (ha),Superficie sembrada de Cebolla (ha),Superficie sembrada de Chile (ha),Superficie sembrada de Frijol (ha),Superficie sembrada de Jitomate (Tomate rojo) (ha),Superficie sembrada de Maíz forrajero (ha),Superficie sembrada de Maíz grano amarillo (ha),Superficie sembrada de Maíz grano blanco (ha),Superficie sembrada de Melón (ha),Superficie sembrada de Papa (ha),Superficie sembrada de Sandia (ha),Superficie sembrada de Sorgo forrajero (ha),Superficie sembrada de Sorgo grano (ha),Superficie sembrada de Soya (ha),Superficie sembrada de Tomate de cascara (Tomatillo) (ha),Superficie sembrada de Trigo grano (ha),Producción de Algodón (ton),Producción de Amaranto (ton),Producción de Arroz (ton),Producción de Avena forrajera (ton),Producción de Brócoli (ton),Producción de Calabaza/calabacita (ton),Producción de Cebada grano (ton),Producción de Cebolla (ton),Producción de Chile (ton),Producción de Frijol (ton),Producción de Jitomate (Tomate rojo) (ton),Producción de Maíz forrajero (ton),Producción de Maíz grano amarillo (ton),Producción de Maíz grano blanco (ton),Producción de Melón (ton),Producción de Papa (ton),Producción de Sandia (ton),Producción de Sorgo forrajero (ton),Producción de Sorgo grano (ton),Producción de Soya (ton),Producción de Tomate de cáscara (tomatillo) (ton),Producción de Trigo  (ton)
Aguascalientes,1,1001,Aguascalientes,285,1040,69,37,9,17,2,10,116,52,27,50,0,12,457,320,34,61,3,19,524,371,172,309,0,54,0,0,0,49,5,16,0,6,13,178,7,1591,29,802,0,0,0,10,5,0,0,0,0,0,0,423.78,10.9169,37.38,41.869,50.7696,45.9762,345.8325,15.7696,13719.6093,233.835,6019.7733,0,0,0,99.2,30.17,0,10,0,0,0,0,10311.6739,194.7123,243.9288,97.0189,1189.6,565.3554,174.9579,502.445,339873.3523,997.6648,22008.7552,0,0,0,1408.016,89.5788,0,0,0
Aguascalientes,1,1002,Asientos,200,986,70,39,16,21,4,13,75,39,25,25,0,4,488,348,57,59,2,10,439,499,148,399,0,10,0,0,0,204,9,87,0,69,18,1275,36,690,52,2053,0,0,0,4,0,0,79,0,0,0,0,765.99,104.8271,307.7852,0,619.1817,96.7343,3286.0518,368.7523,4587.2771,177.805,9618.8066,0,0,0,9.62,6,0,467.64,0,0,0,0,13862.8365,1685.3329,2390.2775,0,19237.8124,1624.172,1597.5972,18244.3542,152522.1552,506.9692,13855.6288,0,0,0,173.24,23.6,0,10359.9572,0
Aguascalientes,1,1003,Calvillo,53,227,16,5,12,21,9,1,31,14,17,8,1,1,49,17,315,449,94,5,98,26,15,26,28,2,0,0,0,19,0,41,0,0,6,53,15,262,15,836,0,0,0,49,20,0,5,0,0,0,0,53.3524,2.7,48.595,1.5,16.4,8,41.168,14.71,972.6302,47.44,2016.9773,0.25,0,1,168.175,38.9966,0,42.5,0,0,0,0,542.7484,47.169,192.8164,7,519.958,135.861,37.5357,471.277,14532.262,196.4423,4869.0259,1,0,3,2424.4461,153.5982,0,768.545,0
Aguascalientes,1,1004,Cosío,48,369,17,11,7,8,1,6,27,15,3,12,0,4,154,205,28,56,0,14,144,210,59,128,0,9,0,0,0,35,7,0,0,0,21,80,3,337,10,421,0,0,0,0,0,0,3,0,0,0,0,122.205,12.069,2.25,0,0,49.717,140.66,7.7,1450.8873,31.75,1551.1395,0,0,0,16.11,0,0,6.16,0,0,0,0,2857.0484,168.2064,18.7875,0,0,692.6405,183.806,245.63,60974.8832,302.2972,5745.0826,0,0,0,495.19,0,0,138.56,0
Aguascalientes,1,1010,El Llano,46,830,16,15,2,2,0,2,19,11,10,13,0,1,372,353,24,20,0,1,280,384,227,412,0,25,0,0,0,44,0,9,0,0,5,895,0,323,21,1612,0,0,0,0,3,0,0,0,0,0,0,109.56,0,7.94,0,0,38.01,2847.47,13.94,3026.266,277.43,10794.807,0,0,0,10.51,21.5,0,12,3,0,0,0,1379.12,0,1.52,0,0,483.3322,942.17,442.8294,46142.8338,881.4,18774.3807,0,0,0,6,3,0,330,0.3
Aguascalientes,1,1005,Jesús María,83,316,32,13,5,6,1,3,57,19,16,22,0,1,170,97,33,34,10,8,213,133,61,94,0,4,0,0,0,67,9,17,0,35,5,38,8,347,11,649,0,0,0,0,0,0,4,0,0,0.512,0,392.265,168.985,14.5677,30.85,85.0463,56.6666,41.7534,74.5,1965.3007,32.88,2075.3256,0,0,0,7.5,2.0623,0,12,0,0,0.0384,0,8461.3057,2390.488,34.8069,168.4,2975.7605,975.7902,21.0244,2514.25,63158.2197,152.0192,6092.0952,0,0,0,102.11,6.2492,0,289.3083,0
Aguascalientes,1,1006,Pabellón de Arteaga,152,329,44,26,13,25,4,8,77,37,39,37,0,7,132,119,30,30,2,5,136,144,64,128,0,8,0,0,0,122,0,0,0,0,6,90,5,525,10,250,0,0,0,3,0,0,4,0,0,0,0,940.81,57.845,2,0,3.505,15.59,149.1135,30.28,4137.6417,40.55,1081.8235,0,0,0,5.25,13.0079,0,100.005,0.5,0,0,0,20373.7575,911.7522,12.8897,0,100.1391,258.2604,101.1583,963.632,188613.2108,288.1506,2304.0697,0,0,0,285.705,41.042,0,2775.8,3.355
Aguascalientes,1,1007,Rincón de Romos,126,633,36,22,10,15,0,5,71,34,38,27,0,2,356,284,46,106,11,14,262,339,119,272,0,6,0,0,0,99,6,14,0,9,19,171,11,893,11,585,0,0,0,0,0,0,0,0,0,0,0,663.21,123.5,18.15,0,82.055,159.57,214.755,42.18,6277.7995,47.75,2918.2892,0.002,0,36.006,3,0,0,39,0,0,0,0,16349.4533,1997.675,106.45,0,2366.7526,2638.8814,156.8762,1321.862,264204.8649,410.8173,6647.4165,0.02,0,610.02,11.73,0,0,834.02,0
Aguascalientes,1,1011,San Francisco de los Romo,120,196,23,12,5,19,5,6,54,22,33,17,0,7,111,68,17,14,3,3,108,104,53,82,0,4,0,0,0,27,10,8,0,9,7,64,0,211,6,204,0,0,0,0,0,0,3,0,0,0,0,268.48,427.2,46.12,0,151.55,48.711,115.22,18.5,1938.9812,25.21,1107.6185,0,0,0,4.32,4.7,0,28.5,0,0,0,0,6643.1662,5827.5938,402.32,0,4717.3673,781.667,108.7556,600.4,79131.9166,24.9651,1063.8597,0,0,0,50.6736,3.6,0,593.985,0
Aguascalientes,1,1008,San José de Gracia,5,171,3,1,1,1,0,0,1,3,2,2,0,0,57,30,2,13,1,4,51,52,16,37,1,2,0,0,0,27,0,8,0,0,0,63,0,94,24,714,0,0,0,4,0,0,0,0,0,0,0,119.37,0,5.975,0,0,0,61.9173,0,397.6978,43.687,2594.8846,0,0,0,14.61,0,0,0,0,0,0,0,433.58,0,12.05,0,0,0,32.8169,0,6779.8071,271.7659,3032.8567,0,0,0,196.04,0,0,0,0
